Current,Temperature,Voltage,SoC
0.377587,35,4.11347,0.922144
1.02646,15,3.55586,0.391589
0.968748,40,3.65911,0.489832
0.952046,10,3.63424,0.466164
0.650396,20,3.94357,0.760481
0.756113,30,3.86383,0.684618
0.641194,40,3.96082,0.776897
0.210103,35,4.16996,0.975894
0.990752,30,3.62533,0.457684
1.24169,20,3.27349,0.122921
0.990352,10,3.58799,0.422162
0.91934,25,3.69894,0.527728
0.0546004,40,4.1936,0.998381
1.13668,40,3.45591,0.296493
0.846028,20,3.76898,0.594365
0.341692,40,4.12874,0.936673
0.485073,25,4.05735,0.868743
0.357789,40,4.12232,0.930564
0.638594,40,3.96272,0.778705
0.466775,35,4.07024,0.881006
0.380086,25,4.11061,0.919423
1.08797,40,3.51828,0.355833
0.774216,35,3.85095,0.672359
0.786818,15,3.82021,0.643111
1.06916,30,3.53106,0.367989
1.18638,15,3.33962,0.185841
0.438679,15,4.07881,0.889167
1.23779,35,3.31148,0.159071
1.16658,20,3.38242,0.226566
1.01696,20,3.57853,0.413157
1.07397,25,3.51703,0.354647
0.722408,20,3.88466,0.70443
0.2794,20,4.14887,0.955822
0.0551004,30,4.19354,0.998324
0.179602,10,4.17537,0.98104
0.0306,10,4.19472,0.999448
0.521874,35,4.03896,0.851243
0.949445,35,3.67687,0.506725
0.232203,20,4.16323,0.969486
0.851629,20,3.7633,0.588963
0.888335,40,3.7447,0.571266
0.999253,40,3.62467,0.457058
1.22219,40,3.33959,0.185809
0.422581,25,4.09061,0.900393
0.950445,30,3.67093,0.501076
0.189103,20,4.17403,0.979761
1.03336,20,3.55838,0.393984
0.867432,25,3.75357,0.579701
0.0606005,10,4.19303,0.997839
0.507572,20,4.04203,0.854167
0.876733,25,3.74401,0.570614
0.0980011,30,4.18973,0.994704
0.687702,30,3.92118,0.739179
0.0385001,35,4.19445,0.999189
0.782818,30,3.83996,0.661904
0.666198,20,3.93117,0.748688
0.0890009,40,4.19078,0.995701
0.266701,10,4.15136,0.958196
0.904138,30,3.72094,0.548662
0.878233,40,3.75492,0.580989
0.564381,30,4.01074,0.824392
0.496971,30,4.0522,0.863848
0.382986,10,4.10469,0.913789
0.525475,40,4.03786,0.850195
1.00095,35,3.61885,0.45152
0.720207,35,3.89739,0.716545
0.320194,25,4.1352,0.942818
1.01506,20,3.58084,0.415358
0.379087,15,4.10832,0.91724
0.881234,30,3.74474,0.571305
0.415482,15,4.09081,0.900582
0.440179,10,4.0756,0.886111
0.898637,40,3.73416,0.561234
0.698904,10,3.89337,0.712723
0.281599,30,4.14937,0.956296
0.702804,20,3.90131,0.720275
0.865131,25,3.75591,0.581934
0.692703,35,3.91974,0.73781
0.455776,35,4.07606,0.88655
0.0148,25,4.19517,0.999877
0.718407,30,3.89612,0.715335
1.13508,15,3.41251,0.255191
0.697903,10,3.89424,0.713546
0.236703,35,4.16315,0.969405
1.00906,15,3.57745,0.412136
0.807722,30,3.81694,0.640003
0.703704,25,3.90482,0.723618
0.992652,20,3.60778,0.44099
0.97975,20,3.62302,0.455486
1.24109,10,3.23892,0.0900333
0.176502,15,4.17644,0.982058
1.03876,10,3.52688,0.364018
1.14208,25,3.42771,0.269661
1.09187,40,3.51339,0.351179
0.73881,40,3.88388,0.703691
0.456776,30,4.07442,0.884989
0.663598,40,3.94413,0.761018
0.960647,30,3.65957,0.490267
0.932142,30,3.691,0.520173
0.0199,30,4.19507,0.999781
0.574283,40,4.00723,0.82106
1.07537,25,3.51525,0.352954
1.18808,35,3.38157,0.225755
0.161002,35,4.18042,0.985843
1.23279,20,3.28677,0.135555
1.22019,20,3.3054,0.153279
0.663398,15,3.92879,0.746422
0.233203,15,4.16238,0.968682
0.800921,40,3.82921,0.651673
0.209303,10,4.16824,0.974252
1.05426,40,3.55979,0.395331
0.138502,10,4.18345,0.988723
0.871632,20,3.74271,0.569373
0.578884,35,4.00292,0.816952
0.73631,15,3.8669,0.687534
0.970449,20,3.63387,0.465817
0.129802,15,4.1851,0.990294
1.00425,35,3.61502,0.447881
0.666998,20,3.93054,0.748083
0.562581,40,4.01482,0.828282
0.899537,10,3.69461,0.523609
0.120401,30,4.1869,0.992007
0.802121,15,3.80545,0.629065
0.651396,10,3.93307,0.750491
0.730809,20,3.87738,0.697504
0.257603,30,4.15686,0.963427
1.11627,30,3.47088,0.31073
0.250504,25,4.15852,0.965002
0.162102,30,4.18008,0.985515
0.308496,35,4.14068,0.948032
0.302997,10,4.13859,0.946043
1.21159,25,3.3307,0.177357
1.00785,30,3.60539,0.438717
0.562081,15,4.00403,0.818008
0.326594,15,4.13074,0.938575
0.192303,15,4.17292,0.978703
0.190503,25,4.17403,0.979758
0.833726,30,3.79213,0.616394
0.219503,15,4.16614,0.972253
1.22189,25,3.31582,0.163196
0.769115,35,3.85548,0.67667
0.245704,30,4.16033,0.966728
0.42748,25,4.08817,0.89807
0.759414,20,3.85196,0.673319
0.161502,40,4.18043,0.985851
0.55708,25,4.01333,0.826863
0.321094,35,4.13613,0.9437
0.79532,40,3.83432,0.656538
1.15968,35,3.42028,0.262587
0.693803,30,3.91629,0.734524
0.494471,40,4.05589,0.867356
0.0679006,35,4.19265,0.99748
0.830325,10,3.76888,0.594274
0.645795,10,3.93756,0.754767
1.04526,10,3.51845,0.355993
0.325694,10,4.12978,0.937656
0.260102,35,4.15647,0.963058
1.04466,25,3.55373,0.38956
0.203503,25,4.17102,0.976901
